aggregation_level,condition,prompt_id,model_id,family,n_contributors,outcome,estimate
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,behavior_mean,1
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,belief_post,5
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,concern_mean,2.2
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,distrust_post,-3
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,donation_ams,0.1
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,funding_perceptions,1.5
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,inst_trust_mean,1
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,newsletter_signup,0.01
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_general,2
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_role_mean,2.2
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_specific_mean,1.5
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,trust_multidimensional,3
prompt,Consensus,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,trust_post,3.2
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,behavior_mean,0.6
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,belief_post,4.2
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,concern_mean,1.8
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,distrust_post,-2.2
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,donation_ams,0.04
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,funding_perceptions,1.2
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,inst_trust_mean,0.9
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,newsletter_signup,0.005
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,policy_general,1.5
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,policy_role_mean,1.6
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,policy_specific_mean,1.1
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,trust_multidimensional,2.5
prompt,Consensus,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,trust_post,2.8
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,behavior_mean,0.7
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,belief_post,2
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,concern_mean,1.6
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,distrust_post,-2.8
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,donation_ams,0.07
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,funding_perceptions,1.4
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,inst_trust_mean,1.4
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,newsletter_signup,0.007
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_general,1.4
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_role_mean,2.2
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,policy_specific_mean,1.1
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,trust_multidimensional,2.8
prompt,Corporate reliance,tier3_direct_forecast_v1,gemini-3.1-pro-preview,Google,1,trust_post,2.8
prompt,Corporate reliance,tier3_direct_forecast_v2,gemini-3.1-pro-preview,Google,1,behavior_mean,0.5
